1,a@ab.com,123,A,Aa,2019-09-17 16:32:30.625 +00:00,2019-09-17 16:32:30.625 +00:00,1
6,Todos quedaron sobrecogidos de temor y alababan a Dios,Yo quiero alabar,Jesus ayudame a alabarte,Alabar a Jesus,2019-09-17 18:44:42.018 +00:00,2019-09-17 18:44:42.018 +00:00,1
7,Jesús se lo entregó a su madre,Jesus mio,Dios mio,orar mas,2019-09-17 19:07:45.604 +00:00,2019-09-17 19:07:45.604 +00:00,1
8,Jesús se lo entregó a su madre8,8,Dios mio8,orar mas8,2019-10-17 19:07:45.604 +00:00,2019-10-17 19:07:45.604 +00:00,1
9,Jesús se lo entregó a su madre89,9,Dios mio89,orar mas8,2020-10-17 19:07:45.604 +00:00,2020-10-17 19:07:45.604 +00:00,1
10,"Después dijo a la mujer: ""Tus pecados te son perdonados"". [[Lc 7,49]]Los invitados pensaron: ""¿Quién es este hombre, que llega hasta perdonar los pecados?"". [[Lc 7,50]]Pero Jesús dijo a la mujer: ""Tu fe te ha salvado, vete en paz"".","Jesús me dice que no solo el perdón de los pecados me salva sino que tambien tengo que tener fe en Él, en que El es el que salva, pero esa fe tiene que ir acompañada de obras y reparación como la mujer que limpió e hizo sentir bien a Jesús. Tengo que hacer sentir a Jesús amado.","Mi Jesús, regalame ese amor que tu nos muestras para yo poder ver las almas como tu las ves, y poder amarlos como Maria Magdalena te demostró el amor en este pasaje. Te amo Jesús, regalame el don del Amor con ""A"" mayúscula.",Hacer un gesto de Amor con alguna persona. Invitar al grupo de oració a alguien.,2019-09-19 21:09:28.915 +00:00,2019-09-19 21:09:28.915 +00:00,1
11,"pueblos, predicando y anunciando la Buena Noticia del Reino de Dios. Lo acompañaban los Doce [[Lc 8,2]]y también algunas mujeres que habían sido curadas de malos espíritus y enfermedades: María",fjasdlk;fkas;f,asdfjkasjkdfas,asdfjkasjkdf,2019-09-20 20:49:30.516 +00:00,2019-09-20 20:49:30.516 +00:00,1
12,Jesús se lo entregó a su madre12,12,Dios mio8,orar mas8,2019-10-27 19:07:45.604 +00:00,2019-10-27 19:07:45.604 +00:00,1
13,Jesús se lo entregó a su madre13,13,Dios mio8,orar mas8,2020-10-27 19:07:45.604 +00:00,2020-10-27 19:07:45.604 +00:00,1
14,lectioDivina,lectioDivina,lectioDivina,lectioDivina,2019-09-20 21:54:10.890 +00:00,2019-09-20 21:54:10.890 +00:00,1
15,lectioDivina,lectioDivina,lectioDivina,lectioDivina,2019-09-20 21:54:33.344 +00:00,2019-09-20 21:54:33.344 +00:00,1
16,const response,const response,const response,const response,2019-09-20 22:00:27.849 +00:00,2019-09-20 22:00:27.849 +00:00,1
17,const response17,const response17,const response17,const response17,2019-02-20 22:00:27.849 +00:00,2019-02-20 22:00:27.849 +00:00,1
